batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Karn Sharma,c Gowtham b Naveen-ul-Haq,2,2.0,5,0.0,0.0,100.00,1359517,9,1
Mohammed Siraj,c Pooran b Naveen-ul-Haq,0,1.0,3,0.0,0.0,0.00,1359517,10,1
Josh Hazlewood,not out ,1,2.0,3,0.0,0.0,50.00,1359517,11,0
Yashasvi Jaiswal,c & b Arshad Khan,124,62.0,112,16.0,8.0,200.00,1359516,1,1
Jos Buttler,c sub (Ramandeep Singh) b Chawla,18,19.0,40,2.0,1.0,94.73,1359516,2,1
Sanju Samson,c Tilak Varma b Arshad Khan,14,10.0,15,1.0,1.0,140.00,1359516,3,1
Devdutt Padikkal, b Chawla,2,4.0,6,0.0,0.0,50.00,1359516,4,1
Jason Holder,c David b Archer,11,9.0,18,0.0,1.0,122.22,1359516,5,1
Shimron Hetmyer,c Yadav b Arshad Khan,8,9.0,14,0.0,1.0,88.88,1359516,6,1
Dhruv Jurel,c Tilak Varma b Meredith,2,3.0,6,0.0,0.0,66.66,1359516,7,1
Ravichandran Ashwin,not out ,8,5.0,20,1.0,0.0,160.00,1359516,8,0
Trent Boult,not out ,0,0.0,4,0.0,0.0,-,1359516,9,0
Ruturaj Gaikwad,st Sharma b Sikandar Raza,37,31.0,47,4.0,1.0,119.35,1359515,1,1
Devon Conway,not out ,92,52.0,103,16.0,1.0,176.92,1359515,2,0
Shivam Dube,c Shahrukh Khan b Arshdeep Singh,28,17.0,23,1.0,2.0,164.70,1359515,3,1
Moeen Ali,st Sharma b Chahar,10,6.0,12,2.0,0.0,166.66,1359515,4,1
Ravindra Jadeja,c Livingstone b Curran,12,10.0,15,0.0,0.0,120.00,1359515,5,1
MS Dhoni,not out ,13,4.0,8,0.0,2.0,325.00,1359515,6,0
Abhishek Sharma,c Warner b AR Patel,67,36.0,62,12.0,1.0,186.11,1359514,1,1
Mayank Agarwal,c Salt b Sharma,5,6.0,15,1.0,0.0,83.33,1359514,2,1
Rahul Tripathi,c Pandey b Marsh,10,6.0,12,0.0,1.0,166.66,1359514,3,1
Aiden Markram,c AR Patel b Marsh,8,13.0,21,0.0,0.0,61.53,1359514,4,1
Harry Brook,c AR Patel b Marsh,0,2.0,3,0.0,0.0,0.00,1359514,5,1
Heinrich Klaasen,not out ,53,27.0,50,2.0,4.0,196.29,1359514,6,0
Abdul Samad,c Salt b Marsh,28,21.0,21,1.0,2.0,133.33,1359514,7,1
Akeal Hosein,not out ,16,10.0,17,1.0,1.0,160.00,1359514,8,0
Narayan Jagadeesan,lbw b Mohammed Shami,19,15.0,16,4.0,0.0,126.66,1359513,1,1
Rahmanullah Gurbaz,c Rashid Khan b Noor Ahmad,81,39.0,80,5.0,7.0,207.69,1359513,2,1
Shardul Thakur,c Sharma b Mohammed Shami,0,4.0,13,0.0,0.0,0.00,1359513,3,1
Venkatesh Iyer,lbw b Little,11,14.0,27,0.0,0.0,78.57,1359513,4,1
Nitish Rana,c Tewatia b Little,4,3.0,5,1.0,0.0,133.33,1359513,5,1
Rinku Singh,c Little b Noor Ahmad,19,20.0,33,0.0,1.0,95.00,1359513,6,1
Andre Russell,c Tewatia b Mohammed Shami,34,19.0,22,2.0,3.0,178.94,1359513,7,1
David Wiese,not out ,8,6.0,13,0.0,1.0,133.33,1359513,8,0
KL Rahul,c Shahrukh Khan b Rabada,12,9.0,19,1.0,1.0,133.33,1359512,1,1
Kyle Mayers,c Dhawan b Rabada,54,24.0,31,7.0,4.0,225.00,1359512,2,1
Ayush Badoni,c Chahar b Livingstone,43,24.0,49,3.0,3.0,179.16,1359512,3,1
Marcus Stoinis,c Sharma b Curran,72,40.0,63,6.0,5.0,180.00,1359512,4,1
Nicholas Pooran,lbw b Arshdeep Singh,45,19.0,36,7.0,1.0,236.84,1359512,5,1
Deepak Hooda,not out ,11,6.0,12,2.0,0.0,183.33,1359512,6,0
Krunal Pandya,not out ,5,2.0,3,1.0,0.0,250.00,1359512,7,0
Yashasvi Jaiswal,c Rahane b Deshpande,77,43.0,67,8.0,4.0,179.06,1359511,1,1
Jos Buttler,c Dube b Jadeja,27,21.0,40,4.0,0.0,128.57,1359511,2,1
Sanju Samson,c Gaikwad b Deshpande,17,17.0,21,1.0,0.0,100.00,1359511,3,1
Shimron Hetmyer, b Theekshana,8,10.0,16,0.0,0.0,80.00,1359511,4,1
Dhruv Jurel,run out (Dhoni),34,15.0,32,3.0,2.0,226.66,1359511,5,1
Devdutt Padikkal,not out ,27,13.0,22,5.0,0.0,207.69,1359511,6,0
Ravichandran Ashwin,not out ,1,1.0,3,0.0,0.0,100.00,1359511,7,0
Jason Roy, b Vyshak,56,29.0,50,4.0,5.0,193.10,1359510,1,1
Narayan Jagadeesan,c Willey b Vyshak,27,29.0,44,4.0,0.0,93.10,1359510,2,1
Venkatesh Iyer,c Maxwell b Hasaranga,31,26.0,44,3.0,0.0,119.23,1359510,3,1
Nitish Rana,c Vyshak b Hasaranga,48,21.0,28,3.0,4.0,228.57,1359510,4,1
Andre Russell, b Mohammed Siraj,1,2.0,10,0.0,0.0,50.00,1359510,5,1
Rinku Singh,not out ,18,10.0,12,2.0,1.0,180.00,1359510,6,0
David Wiese,not out ,12,3.0,5,0.0,2.0,400.00,1359510,7,0
Wriddhiman Saha,c Ishan Kishan b Tendulkar,4,7.0,13,0.0,0.0,57.14,1359509,1,1
Shubman Gill,c Yadav b Kartikeya,56,34.0,57,7.0,1.0,164.70,1359509,2,1
Hardik Pandya,c Yadav b Chawla,13,14.0,23,1.0,0.0,92.85,1359509,3,1
Vijay Shankar,c David b Chawla,19,16.0,27,1.0,1.0,118.75,1359509,4,1
David Miller,c Yadav b Behrendorff,46,22.0,47,2.0,4.0,209.09,1359509,5,1
Abhinav Manohar,c Behrendorff b Meredith,42,21.0,30,3.0,3.0,200.00,1359509,6,1
Rahul Tewatia,not out ,20,5.0,13,0.0,3.0,400.00,1359509,7,0
Rashid Khan,not out ,2,1.0,2,0.0,0.0,200.00,1359509,8,0
David Warner,c Brook b Washington Sundar,21,20.0,39,2.0,1.0,105.00,1359508,1,1
Phil Salt,c Klaasen b Kumar,0,1.0,4,0.0,0.0,0.00,1359508,2,1
Mitchell Marsh,lbw b Natarajan,25,15.0,22,5.0,0.0,166.66,1359508,3,1
Sarfaraz Khan,c Kumar b Washington Sundar,10,9.0,16,0.0,1.0,111.11,1359508,4,1
Manish Pandey,run out (Washington Sundar/Klaasen),34,27.0,53,2.0,0.0,125.92,1359508,5,1
Aman Hakim Khan,c Abhishek Sharma b Washington Sundar,4,2.0,3,1.0,0.0,200.00,1359508,6,1
Axar Patel, b Kumar,34,34.0,43,4.0,0.0,100.00,1359508,7,1
Ripal Patel,run out (Klaasen),5,6.0,13,0.0,0.0,83.33,1359508,8,1
Anrich Nortje,run out (Umran Malik/Klaasen),2,2.0,7,0.0,0.0,100.00,1359508,9,1
Kuldeep Yadav,not out ,4,3.0,5,1.0,0.0,133.33,1359508,10,0
Ishant Sharma,not out ,1,1.0,2,0.0,0.0,100.00,1359508,11,0
Ruturaj Gaikwad, b Suyash Sharma,35,20.0,35,2.0,3.0,175.00,1359507,1,1
Devon Conway,c Wiese b Varun,56,40.0,56,4.0,3.0,140.00,1359507,2,1
Ajinkya Rahane,not out ,71,29.0,70,6.0,5.0,244.82,1359507,3,0
Shivam Dube,c Roy b Khejroliya,50,21.0,31,2.0,5.0,238.09,1359507,4,1
Ravindra Jadeja,c Singh b Khejroliya,18,8.0,13,0.0,2.0,225.00,1359507,5,1
MS Dhoni,not out ,2,3.0,4,0.0,0.0,66.66,1359507,6,0
Virat Kohli,lbw b Boult,0,1.0,2,0.0,0.0,0.00,1359506,1,1
Faf du Plessis,run out (Jaiswal),62,39.0,71,8.0,2.0,158.97,1359506,2,1
Shahbaz Ahmed,c Jaiswal b Boult,2,4.0,10,0.0,0.0,50.00,1359506,3,1
Glenn Maxwell,c Holder b Ashwin,77,44.0,66,6.0,4.0,175.00,1359506,4,1
Mahipal Lomror,c Padikkal b Chahal,8,6.0,16,1.0,0.0,133.33,1359506,5,1
Dinesh Karthik,c Buttler b Sandeep Sharma,16,13.0,28,2.0,0.0,123.07,1359506,6,1
Suyash Prabhudessai,run out (Jaiswal/Samson),0,2.0,5,0.0,0.0,0.00,1359506,7,1
Wanindu Hasaranga,run out (Samson/Sandeep Sharma),6,7.0,14,0.0,0.0,85.71,1359506,8,1
David Willey,not out ,4,2.0,8,1.0,0.0,200.00,1359506,9,0
Vijaykumar Vyshak,c Hetmyer b Sandeep Sharma,0,1.0,2,0.0,0.0,0.00,1359506,10,1
Mohammed Siraj,not out ,1,1.0,4,0.0,0.0,100.00,1359506,11,0
Matthew Short,c Chawla b Green,11,10.0,15,2.0,0.0,110.00,1359505,1,1
Prabhsimran Singh,lbw b Tendulkar,26,17.0,37,1.0,2.0,152.94,1359505,2,1
Atharva Taide, b Chawla,29,17.0,38,3.0,1.0,170.58,1359505,3,1
Liam Livingstone,st Ishan Kishan b Chawla,10,12.0,12,0.0,1.0,83.33,1359505,4,1
Harpreet Singh, b Green,41,28.0,47,4.0,2.0,146.42,1359505,5,1
Sam Curran,c & b Archer,55,29.0,51,5.0,4.0,189.65,1359505,6,1
Jitesh Sharma, b Behrendorff,25,7.0,12,0.0,4.0,357.14,1359505,7,1
M Shahrukh Khan,not out ,0,0.0,6,0.0,0.0,-,1359505,8,0
Harpreet Brar,run out (Tilak Varma/Ishan Kishan),5,2.0,3,1.0,0.0,250.00,1359505,9,1
Wriddhiman Saha,c Hooda b Pandya,47,37.0,51,6.0,0.0,127.02,1359504,1,1
Shubman Gill,c Ravi Bishnoi b Pandya,0,2.0,9,0.0,0.0,0.00,1359504,2,1
Hardik Pandya,c Rahul b Stoinis,66,50.0,89,2.0,4.0,132.00,1359504,3,1
Abhinav Manohar,c Naveen-ul-Haq b Mishra,3,5.0,7,0.0,0.0,60.00,1359504,4,1
Vijay Shankar, b Naveen-ul-Haq,10,12.0,17,1.0,0.0,83.33,1359504,5,1
David Miller,c Hooda b Stoinis,6,12.0,28,0.0,0.0,50.00,1359504,6,1
Rahul Tewatia,not out ,2,2.0,4,0.0,0.0,100.00,1359504,7,0
Harry Brook,c Gaikwad b Akash Singh,18,13.0,23,3.0,0.0,138.46,1359503,1,1
Abhishek Sharma,c Rahane b Jadeja,34,26.0,43,3.0,1.0,130.76,1359503,2,1
Rahul Tripathi,c Akash Singh b Jadeja,21,21.0,31,1.0,1.0,100.00,1359503,3,1
Aiden Markram,c Dhoni b Theekshana,12,12.0,15,1.0,0.0,100.00,1359503,4,1
Heinrich Klaasen,c Gaikwad b Pathirana,17,16.0,27,1.0,0.0,106.25,1359503,5,1
Mayank Agarwal,st Dhoni b Jadeja,2,4.0,6,0.0,0.0,50.00,1359503,6,1
Marco Jansen,not out ,17,22.0,29,1.0,0.0,77.27,1359503,7,0
Washington Sundar,run out (Dhoni),9,6.0,14,1.0,0.0,150.00,1359503,8,1
Jason Roy,c Aman Hakim Khan b Kuldeep Yadav,43,39.0,74,5.0,1.0,110.25,1359502,1,1
Litton Das,c Lalit Yadav b Mukesh Kumar,4,4.0,13,1.0,0.0,100.00,1359502,2,1
Venkatesh Iyer,c Marsh b Nortje,0,2.0,9,0.0,0.0,0.00,1359502,3,1
Nitish Rana,c Mukesh Kumar b Sharma,4,7.0,11,1.0,0.0,57.14,1359502,4,1
Mandeep Singh, b Patel,12,11.0,16,0.0,1.0,109.09,1359502,5,1
Rinku Singh,c Lalit Yadav b Patel,6,8.0,9,1.0,0.0,75.00,1359502,6,1
Sunil Narine,c Warner b Sharma,4,6.0,6,1.0,0.0,66.66,1359502,7,1
Andre Russell,not out ,38,31.0,49,1.0,4.0,122.58,1359502,8,0
Anukul Roy,lbw b Kuldeep Yadav,0,1.0,2,0.0,0.0,0.00,1359502,9,1
Umesh Yadav,c & b Nortje,3,5.0,5,0.0,0.0,60.00,1359502,10,1
Varun Chakravarthy,run out (sub [YV Dhull]/Salt),1,6.0,28,0.0,0.0,16.66,1359502,11,1
Virat Kohli,c Sharma b Harpreet Brar,59,47.0,72,5.0,1.0,125.53,1359501,1,1
Faf du Plessis,c Curran b Ellis,84,56.0,78,5.0,5.0,150.00,1359501,2,1
Glenn Maxwell,c Taide b Harpreet Brar,0,1.0,1,0.0,0.0,0.00,1359501,3,1
Dinesh Karthik,c Taide b Arshdeep Singh,7,5.0,16,1.0,0.0,140.00,1359501,4,1
Mahipal Lomror,not out ,7,9.0,15,1.0,0.0,77.77,1359501,5,0
Shahbaz Ahmed,not out ,5,3.0,5,0.0,0.0,166.66,1359501,6,0
KL Rahul,c Buttler b Holder,39,32.0,51,4.0,1.0,121.87,1359500,1,1
Kyle Mayers, b Ashwin,51,42.0,69,4.0,3.0,121.42,1359500,2,1
Ayush Badoni, b Boult,1,4.0,6,0.0,0.0,25.00,1359500,3,1
Deepak Hooda,c Hetmyer b Ashwin,2,4.0,7,0.0,0.0,50.00,1359500,4,1
Marcus Stoinis,c Samson b Sandeep Sharma,21,16.0,31,2.0,0.0,131.25,1359500,5,1
Nicholas Pooran,run out (Samson),29,20.0,27,2.0,1.0,145.00,1359500,6,1
Krunal Pandya,not out ,4,2.0,4,1.0,0.0,200.00,1359500,7,0
Yudhvir Singh,run out (Hetmyer/Samson),1,1.0,2,0.0,0.0,100.00,1359500,8,1
Rohit Sharma,c Markram b Natarajan,28,18.0,22,6.0,0.0,155.55,1359499,1,1
Ishan Kishan,c Markram b Jansen,38,31.0,51,3.0,2.0,122.58,1359499,2,1
Cameron Green,not out ,64,40.0,75,6.0,2.0,160.00,1359499,3,0
Suryakumar Yadav,c Markram b Jansen,7,3.0,6,0.0,1.0,233.33,1359499,4,1
Tilak Varma,c Agarwal b Kumar,37,17.0,24,2.0,4.0,217.64,1359499,5,1
Tim David,run out (Abhishek Sharma/Natarajan),16,11.0,19,2.0,0.0,145.45,1359499,6,1
Ruturaj Gaikwad,c Parnell b Mohammed Siraj,3,6.0,12,0.0,0.0,50.00,1359498,1,1
Devon Conway, b Patel,83,45.0,73,6.0,6.0,184.44,1359498,2,1
Ajinkya Rahane, b Hasaranga,37,20.0,33,3.0,2.0,185.00,1359498,3,1
Shivam Dube,c Mohammed Siraj b Parnell,52,27.0,35,2.0,5.0,192.59,1359498,4,1
Ambati Rayudu,c Karthik b Vyshak,14,6.0,11,1.0,1.0,233.33,1359498,5,1
Moeen Ali,not out ,19,9.0,24,0.0,2.0,211.11,1359498,6,0
Ravindra Jadeja,c Prabhudessai b Maxwell,10,8.0,17,0.0,1.0,125.00,1359498,7,1
MS Dhoni,not out ,1,1.0,2,0.0,0.0,100.00,1359498,8,0
Wriddhiman Saha,c & b Boult,4,3.0,4,1.0,0.0,133.33,1359497,1,1
Shubman Gill,c Buttler b Sandeep Sharma,45,34.0,70,4.0,1.0,132.35,1359497,2,1
Sai Sudharsan,run out (Buttler/Samson),20,19.0,23,2.0,0.0,105.26,1359497,3,1
Hardik Pandya,c Jaiswal b Chahal,28,19.0,22,3.0,1.0,147.36,1359497,4,1
David Miller,c Hetmyer b Sandeep Sharma,46,30.0,43,3.0,2.0,153.33,1359497,5,1
Abhinav Manohar,c Padikkal b Zampa,27,13.0,17,0.0,3.0,207.69,1359497,6,1
Rahul Tewatia,not out ,1,1.0,10,0.0,0.0,100.00,1359497,7,0
Rashid Khan,run out (Buttler/Sandeep Sharma),1,1.0,4,0.0,0.0,100.00,1359497,8,1
Alzarri Joseph,not out ,0,0.0,2,0.0,0.0,-,1359497,9,0
Rahmanullah Gurbaz,c Jansen b Chawla,8,12.0,39,0.0,0.0,66.66,1359496,1,1
Narayan Jagadeesan,c Shokeen b Green,0,5.0,12,0.0,0.0,0.00,1359496,2,1
Venkatesh Iyer,c Jansen b Meredith,104,51.0,82,6.0,9.0,203.92,1359496,3,1
Nitish Rana,c sub (Ramandeep Singh) b Shokeen,5,10.0,13,0.0,0.0,50.00,1359496,4,1
Shardul Thakur,c Tilak Varma b Shokeen,13,11.0,23,1.0,0.0,118.18,1359496,5,1
Rinku Singh,c Wadhera b Jansen,18,18.0,32,2.0,0.0,100.00,1359496,6,1
Andre Russell,not out ,21,11.0,18,3.0,1.0,190.90,1359496,7,0
Sunil Narine,not out ,2,2.0,9,0.0,0.0,100.00,1359496,8,0
KL Rahul,c sub (NT Ellis) b Arshdeep Singh,74,56.0,101,8.0,1.0,132.14,1359495,1,1
Kyle Mayers,c Harpreet Singh b Harpreet Brar,29,23.0,34,1.0,3.0,126.08,1359495,2,1
Deepak Hooda,lbw b Sikandar Raza,2,3.0,7,0.0,0.0,66.66,1359495,3,1
Krunal Pandya,c Shahrukh Khan b Rabada,18,17.0,30,2.0,0.0,105.88,1359495,4,1
Nicholas Pooran,c Shahrukh Khan b Rabada,0,1.0,5,0.0,0.0,0.00,1359495,5,1
Marcus Stoinis,c Sharma b Curran,15,11.0,22,0.0,2.0,136.36,1359495,6,1
Ayush Badoni,not out ,5,6.0,17,0.0,0.0,83.33,1359495,7,0
Krishnappa Gowtham,c Sikandar Raza b Curran,1,2.0,7,0.0,0.0,50.00,1359495,8,1
Yudhvir Singh,c Shahrukh Khan b Curran,0,1.0,3,0.0,0.0,0.00,1359495,9,1
Ravi Bishnoi,not out ,3,1.0,3,0.0,0.0,300.00,1359495,10,0
Virat Kohli,c Dhull b Lalit Yadav,50,34.0,46,6.0,1.0,147.05,1359494,1,1
Faf du Plessis,c Aman Hakim Khan b Marsh,22,16.0,21,3.0,1.0,137.50,1359494,2,1
Mahipal Lomror,c Abishek Porel b Marsh,26,18.0,38,0.0,2.0,144.44,1359494,3,1
Glenn Maxwell,c Warner b Kuldeep Yadav,24,14.0,25,0.0,3.0,171.42,1359494,4,1
Harshal Patel,c Abishek Porel b Patel,6,4.0,9,0.0,1.0,150.00,1359494,5,1
Shahbaz Ahmed,not out ,20,12.0,31,3.0,0.0,166.66,1359494,6,0
Dinesh Karthik,c Lalit Yadav b Kuldeep Yadav,0,1.0,2,0.0,0.0,0.00,1359494,7,1
Anuj Rawat,not out ,15,22.0,26,1.0,0.0,68.18,1359494,8,0
Harry Brook,not out ,100,55.0,99,12.0,3.0,181.81,1359493,1,0
Mayank Agarwal,c Varun b Russell,9,13.0,22,0.0,0.0,69.23,1359493,2,1
Rahul Tripathi,c Rahmanullah Gurbaz b Russell,9,4.0,6,2.0,0.0,225.00,1359493,3,1
Aiden Markram,c Russell b Varun,50,26.0,32,2.0,5.0,192.30,1359493,4,1
Abhishek Sharma,c Thakur b Russell,32,17.0,28,3.0,2.0,188.23,1359493,5,1
Heinrich Klaasen,not out ,16,6.0,13,2.0,1.0,266.66,1359493,6,0
Prabhsimran Singh,c Rashid Khan b Mohammed Shami,0,2.0,3,0.0,0.0,0.00,1359492,1,1
Shikhar Dhawan,c Joseph b Little,8,8.0,20,2.0,0.0,100.00,1359492,2,1
Matthew Short, b Rashid Khan,36,24.0,38,6.0,1.0,150.00,1359492,3,1
Bhanuka Rajapaksa,c Shubman Gill b Joseph,20,26.0,73,1.0,0.0,76.92,1359492,4,1
Jitesh Sharma,c Saha b Sharma,25,23.0,29,5.0,0.0,108.69,1359492,5,1
Sam Curran,c Shubman Gill b Sharma,22,22.0,33,1.0,1.0,100.00,1359492,6,1
M Shahrukh Khan,run out (Miller/Saha),22,9.0,19,1.0,2.0,244.44,1359492,7,1
Harpreet Brar,not out ,8,5.0,12,0.0,1.0,160.00,1359492,8,0
Rishi Dhawan,run out (Saha),1,1.0,4,0.0,0.0,100.00,1359492,9,1
Yashasvi Jaiswal,c Dube b Deshpande,10,8.0,9,2.0,0.0,125.00,1359491,1,1
Jos Buttler, b Ali,52,36.0,79,1.0,3.0,144.44,1359491,2,1
Devdutt Padikkal,c Conway b Jadeja,38,26.0,33,5.0,0.0,146.15,1359491,3,1
Sanju Samson, b Jadeja,0,2.0,2,0.0,0.0,0.00,1359491,4,1
Ravichandran Ashwin,c Magala b Akash Singh,30,22.0,29,1.0,2.0,136.36,1359491,5,1
Shimron Hetmyer,not out ,30,18.0,28,2.0,2.0,166.66,1359491,6,0
Dhruv Jurel,c Dube b Akash Singh,4,6.0,15,0.0,0.0,66.66,1359491,7,1
Jason Holder,c Conway b Deshpande,0,1.0,6,0.0,0.0,0.00,1359491,8,1
Adam Zampa,run out (Theekshana/Dhoni),1,1.0,2,0.0,0.0,100.00,1359491,9,1
David Warner,c Meredith b Behrendorff,51,47.0,94,6.0,0.0,108.51,1359490,1,1
Prithvi Shaw,c Green b Shokeen,15,10.0,17,3.0,0.0,150.00,1359490,2,1
Manish Pandey,c Behrendorff b Chawla,26,18.0,24,5.0,0.0,144.44,1359490,3,1
Yash Dhull,c Wadhera b Meredith,2,4.0,7,0.0,0.0,50.00,1359490,4,1
Rovman Powell,lbw b Chawla,4,4.0,6,1.0,0.0,100.00,1359490,5,1
Lalit Yadav, b Chawla,2,4.0,10,0.0,0.0,50.00,1359490,6,1
Axar Patel,c Arshad Khan b Behrendorff,54,25.0,29,4.0,5.0,216.00,1359490,7,1
Abishek Porel,c Green b Behrendorff,1,3.0,8,0.0,0.0,33.33,1359490,8,1
Kuldeep Yadav,run out (Wadhera),0,1.0,2,0.0,0.0,0.00,1359490,9,1
Anrich Nortje, b Meredith,5,3.0,7,1.0,0.0,166.66,1359490,10,1
Mustafizur Rahman,not out ,1,1.0,5,0.0,0.0,100.00,1359490,11,0
Virat Kohli,c Stoinis b Mishra,61,44.0,50,4.0,4.0,138.63,1359489,1,1
Faf du Plessis,not out ,79,46.0,104,5.0,5.0,171.73,1359489,2,0
Glenn Maxwell, b Wood,59,29.0,54,3.0,6.0,203.44,1359489,3,1
Dinesh Karthik,not out ,1,1.0,2,0.0,0.0,100.00,1359489,4,0
Prabhsimran Singh,lbw b Kumar,0,1.0,2,0.0,0.0,0.00,1359488,1,1
Shikhar Dhawan,not out ,99,66.0,105,12.0,5.0,150.00,1359488,2,0
Matthew Short,lbw b Jansen,1,3.0,9,0.0,0.0,33.33,1359488,3,1
