bowling,over,maiden,run,wickets,economy_rate,0s,4s,6s,wide,no_ball,match_id
Deepak Chahar,4,0,38,1,9.50,5,3,1,0,0,1370353
Tushar Deshpande,4,0,56,0,14.00,4,7,3,0,0,1370353
Maheesh Theekshana,4,0,36,0,9.00,8,3,2,0,0,1370353
Ravindra Jadeja,4,0,38,1,9.50,3,3,1,0,0,1370353
Matheesha Pathirana,4,0,44,2,11.00,7,4,2,2,0,1370353
Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0,1370352
Cameron Green,3,0,35,0,11.66,4,3,2,0,0,1370352
Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2,1370352
Chris Jordan,4,0,56,0,14.00,6,6,3,4,0,1370352
Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0,1370352
Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0,1370352
Krunal Pandya,4,0,38,0,9.50,7,5,1,0,0,1370351
Krishnappa Gowtham,1,0,8,0,8.00,4,2,0,0,0,1370351
Naveen-ul-Haq,4,0,38,4,9.50,10,3,2,3,0,1370351
Yash Thakur,4,0,34,3,8.50,12,3,2,2,0,1370351
Mohsin Khan,3,0,24,1,8.00,9,1,2,0,0,1370351
Ravi Bishnoi,4,0,30,0,7.50,4,1,1,1,0,1370351
Mohammed Shami,4,0,28,2,7.00,10,2,1,0,1,1370350
Darshan Nalkande,4,0,44,1,11.00,9,4,2,0,1,1370350
Rashid Khan,4,0,37,1,9.25,5,2,1,0,0,1370350
Noor Ahmad,4,0,29,1,7.25,6,3,0,0,0,1370350
Mohit Sharma,4,0,31,2,7.75,4,3,0,0,0,1370350
Mohammed Shami,4,0,39,1,9.75,9,7,0,1,0,1359544
Yash Dayal,4,0,39,1,9.75,7,5,1,0,0,1359544
Rashid Khan,4,0,24,1,6.00,5,1,0,0,0,1359544
Noor Ahmad,4,0,39,2,9.75,6,4,1,2,0,1359544
Mohit Sharma,4,0,54,0,13.50,2,8,1,2,0,1359544
Jason Behrendorff,3,0,36,0,12.00,7,4,2,3,0,1359543
Cameron Green,1,0,2,0,2.00,4,0,0,0,0,1359543
Chris Jordan,4,0,42,1,10.50,6,5,1,1,0,1359543
Akash Madhwal,4,0,37,4,9.25,7,4,1,0,1,1359543
Piyush Chawla,4,0,39,0,9.75,4,3,2,0,0,1359543
Kumar Kartikeya,4,0,39,0,9.75,6,4,1,1,0,1359543
Harshit Rana,3,0,21,1,7.00,11,3,1,0,0,1359542
Vaibhav Arora,4,0,30,2,7.50,9,1,1,3,1,1359542
Varun Chakravarthy,4,0,38,1,9.50,10,4,2,0,0,1359542
Nitish Rana,1,0,3,0,3.00,4,0,0,0,0,1359542
Shardul Thakur,2,0,27,2,13.50,3,0,3,1,1,1359542
Sunil Narine,4,0,28,2,7.00,8,2,1,1,0,1359542
Suyash Sharma,1,0,12,0,12.00,2,1,1,0,0,1359542
Andre Russell,1,0,12,0,12.00,2,1,1,0,0,1359542
Khaleel Ahmed,4,0,45,1,11.25,9,4,3,2,1,1359541
Lalit Yadav,2,0,32,0,16.00,1,3,2,2,0,1359541
Axar Patel,3,0,32,0,10.66,3,0,3,0,0,1359541
Anrich Nortje,4,0,43,1,10.75,8,4,3,0,0,1359541
Chetan Sakariya,4,0,36,1,9.00,9,5,0,3,1,1359541
Kuldeep Yadav,3,0,34,0,11.33,2,1,3,0,0,1359541
Trent Boult,4,0,35,1,8.75,12,3,2,1,0,1359540
Sandeep Sharma,4,0,46,0,11.50,6,3,3,2,1,1359540
Navdeep Saini,4,0,40,3,10.00,9,6,1,1,0,1359540
Adam Zampa,4,0,26,1,6.50,6,2,0,0,0,1359540
Yuzvendra Chahal,4,0,40,0,10.00,9,3,3,1,0,1359540
Mohammed Siraj,4,0,17,1,4.25,16,2,0,2,0,1359539
Wayne Parnell,4,0,35,0,8.75,5,3,1,0,0,1359539
Michael Bracewell,2,0,13,2,6.50,5,2,0,0,0,1359539
Shahbaz Ahmed,3,0,38,1,12.66,4,4,2,0,0,1359539
Harshal Patel,4,0,37,1,9.25,4,3,1,1,0,1359539
Karn Sharma,3,0,45,0,15.00,0,1,4,1,0,1359539
Sam Curran,4,0,36,2,9.00,9,4,1,1,0,1359538
Kagiso Rabada,3,0,36,0,12.00,8,2,4,0,0,1359538
Arshdeep Singh,2,0,21,0,10.50,4,2,1,2,0,1359538
Nathan Ellis,4,0,46,0,11.50,6,5,2,0,0,1359538
Rahul Chahar,4,0,35,0,8.75,7,4,1,0,0,1359538
Harpreet Brar,3,0,39,0,13.00,2,3,2,2,0,1359538
Jason Behrendorff,4,0,30,2,7.50,9,0,2,1,0,1359537
Chris Jordan,4,0,50,0,12.50,7,3,4,2,0,1359537
Hrithik Shokeen,3,0,20,0,6.66,9,1,1,0,0,1359537
Piyush Chawla,3,0,26,1,8.66,5,0,2,0,0,1359537
Akash Madhwal,4,0,30,0,7.50,7,1,1,2,0,1359537
Cameron Green,2,0,16,0,8.00,5,1,1,0,0,1359537
Bhuvneshwar Kumar,4,0,30,5,7.50,11,4,0,0,0,1359536
Marco Jansen,4,0,39,1,9.75,11,3,1,4,2,1359536
Fazalhaq Farooqi,3,0,31,1,10.33,3,4,0,1,0,1359536
T Natarajan,4,0,34,1,8.50,4,4,0,0,0,1359536
Aiden Markram,1,0,13,0,13.00,0,2,0,0,0,1359536
Mayank Markande,3,0,27,0,9.00,3,4,0,0,0,1359536
Abhishek Sharma,1,0,13,0,13.00,2,1,1,1,0,1359536
Vaibhav Arora,4,0,30,1,7.50,7,2,0,1,1,1359535
Harshit Rana,2,0,19,0,9.50,5,2,1,0,0,1359535
Varun Chakravarthy,4,0,36,2,9.00,5,2,1,1,0,1359535
Sunil Narine,4,0,15,2,3.75,10,0,0,0,0,1359535
Shardul Thakur,3,0,15,1,5.00,7,1,0,1,0,1359535
Suyash Sharma,3,0,29,0,9.66,6,0,3,0,1,1359535
Sandeep Sharma,4,0,34,1,8.50,4,4,0,1,0,1359534
Adam Zampa,4,0,25,2,6.25,10,2,1,0,0,1359534
Yuzvendra Chahal,4,0,37,0,9.25,4,3,1,1,0,1359534
Ravichandran Ashwin,4,0,33,0,8.25,5,1,2,1,0,1359534
KM Asif,4,0,42,2,10.50,8,2,3,1,0,1359534
Khaleel Ahmed,4,0,36,0,9.00,11,4,1,3,0,1359533
Ishant Sharma,3,0,27,2,9.00,8,4,1,0,0,1359533
Axar Patel,4,0,27,1,6.75,12,1,1,2,0,1359533
Praveen Dubey,3,0,19,1,6.33,8,1,1,1,0,1359533
Kuldeep Yadav,4,0,32,1,8.00,9,2,2,0,0,1359533
Mitchell Marsh,1,0,21,0,21.00,0,1,2,1,0,1359533
Mukesh Kumar,1,0,3,1,3.00,3,0,0,0,0,1359533
Yudhvir Singh,3,0,24,1,8.00,8,4,0,1,0,1359532
Kyle Mayers,1,0,11,0,11.00,3,2,0,0,1,1359532
Krunal Pandya,4,0,24,2,6.00,12,2,1,0,0,1359532
Avesh Khan,2,0,30,1,15.00,2,5,1,0,0,1359532
Yash Thakur,4,0,28,1,7.00,11,1,2,0,0,1359532
Amit Mishra,4,0,40,1,10.00,8,2,3,1,0,1359532
Ravi Bishnoi,2,0,23,0,11.50,1,2,1,0,0,1359532
Mohammed Shami,4,0,53,0,13.25,9,5,4,0,0,1359531
Mohit Sharma,4,0,43,1,10.75,10,6,2,0,0,1359531
Rashid Khan,4,0,30,4,7.50,10,5,0,0,0,1359531
Noor Ahmad,4,0,38,0,9.50,7,4,1,0,0,1359531
Alzarri Joseph,4,0,52,0,13.00,5,2,5,0,0,1359531
Trent Boult,3,0,15,2,5.00,13,2,0,0,0,1359530
Sandeep Sharma,4,0,34,1,8.50,12,2,3,0,0,1359530
Ravichandran Ashwin,4,0,32,0,8.00,6,1,2,0,0,1359530
Joe Root,2,0,14,0,7.00,2,1,0,0,0,1359530
Yuzvendra Chahal,4,0,25,4,6.25,11,2,1,0,0,1359530
KM Asif,3,0,27,1,9.00,4,0,2,1,0,1359530
Khaleel Ahmed,4,0,32,1,8.00,9,1,2,2,0,1359529
Ishant Sharma,2,0,23,0,11.50,4,4,0,2,0,1359529
Lalit Yadav,3,0,34,1,11.33,6,2,3,0,0,1359529
Axar Patel,4,0,27,2,6.75,8,2,1,0,0,1359529
Kuldeep Yadav,4,0,28,1,7.00,6,0,1,3,0,1359529
Mitchell Marsh,3,0,18,3,6.00,7,1,0,3,0,1359529
Jason Behrendorff,4,0,36,3,9.00,9,5,1,0,0,1359528
Piyush Chawla,4,0,41,0,10.25,8,5,2,0,0,1359528
Cameron Green,2,0,15,1,7.50,6,3,0,0,0,1359528
Chris Jordan,4,0,48,1,12.00,7,4,3,1,0,1359528
Kumar Kartikeya,4,0,35,1,8.75,6,3,1,1,0,1359528
Akash Madhwal,2,0,23,0,11.50,1,1,1,0,1,1359528
Vaibhav Arora,3,0,32,0,10.66,8,7,0,1,0,1359527
Harshit Rana,3,0,33,2,11.00,9,4,2,0,1,1359527
Andre Russell,1,0,19,0,19.00,1,4,0,0,1,1359527
Varun Chakravarthy,4,0,26,3,6.50,11,2,1,1,0,1359527
Suyash Sharma,4,0,26,1,6.50,12,1,2,1,0,1359527
Sunil Narine,4,0,29,0,7.25,9,2,1,1,0,1359527
Nitish Rana,1,0,7,1,7.00,3,1,0,0,0,1359527
Bhuvneshwar Kumar,4,0,44,1,11.00,7,6,1,2,0,1359526
Marco Jansen,4,0,44,1,11.00,5,6,1,1,0,1359526
T Natarajan,4,0,36,0,9.00,8,4,1,1,0,1359526
Mayank Markande,4,0,51,0,12.75,7,1,6,0,0,1359526
Abhishek Sharma,2,0,15,0,7.50,5,1,1,0,0,1359526
Vivrant Sharma,2,0,18,0,9.00,4,1,1,1,0,1359526
Mohsin Khan,3,0,42,1,14.00,4,5,2,2,0,1359525
Avesh Khan,4,0,34,1,8.50,8,2,2,0,0,1359525
Krunal Pandya,4,0,38,0,9.50,5,2,2,0,0,1359525
Yash Thakur,4,0,48,0,12.00,4,2,4,1,0,1359525
Ravi Bishnoi,2,0,21,0,10.50,2,0,2,1,0,1359525
Kyle Mayers,1,0,16,0,16.00,1,3,0,0,1,1359525
Swapnil Singh,1,0,7,0,7.00,1,0,0,0,0,1359525
Marcus Stoinis,1,0,20,0,20.00,0,1,2,0,0,1359525
Khaleel Ahmed,4,0,45,1,11.25,7,3,3,1,0,1359524
Axar Patel,3,0,17,0,5.66,7,2,0,0,0,1359524
Ishant Sharma,3,0,29,0,9.66,5,4,0,2,0,1359524
Mukesh Kumar,3,0,30,1,10.00,6,5,0,1,0,1359524
Mitchell Marsh,3,0,21,2,7.00,3,0,1,1,0,1359524
Kuldeep Yadav,4,0,37,0,9.25,5,2,2,0,0,1359524
Deepak Chahar,3,0,18,2,6.00,10,3,0,0,0,1359523
Tushar Deshpande,4,0,26,2,6.50,9,2,0,1,0,1359523
Ravindra Jadeja,4,0,37,1,9.25,5,5,0,1,0,1359523
Moeen Ali,1,0,10,0,10.00,2,2,0,0,0,1359523
Maheesh Theekshana,4,0,28,0,7.00,11,3,1,0,0,1359523
Matheesha Pathirana,4,0,15,3,3.75,12,0,0,0,0,1359523
Mohammed Shami,4,0,27,1,6.75,13,2,1,2,0,1359522
Hardik Pandya,2,0,22,1,11.00,4,3,1,0,0,1359522
Rashid Khan,4,0,14,3,3.50,13,0,0,2,0,1359522
Josh Little,4,0,24,1,6.00,7,2,0,0,0,1359522
Noor Ahmad,3,0,25,2,8.33,7,2,1,3,0,1359522
Mohit Sharma,0.5,0,5,0,6.00,0,0,0,0,0,1359522
Bhuvneshwar Kumar,4,0,33,1,8.25,12,6,0,1,0,1359521
Marco Jansen,3,0,24,2,8.00,7,3,0,0,1,1359521
Kartik Tyagi,2,0,30,1,15.00,5,3,2,2,1,1359521
Aiden Markram,3,0,24,1,8.00,5,2,1,0,0,1359521
T Natarajan,4,0,30,2,7.50,9,1,1,2,0,1359521
Mayank Markande,4,0,29,1,7.25,8,1,2,0,0,1359521
Cameron Green,2,0,15,0,7.50,7,2,0,0,0,1359520
Arshad Khan,4,0,48,1,12.00,9,7,2,1,0,1359520
Jofra Archer,4,0,56,0,14.00,4,4,3,2,1,1359520
Piyush Chawla,4,0,29,2,7.25,7,4,0,0,0,1359520
Kumar Kartikeya,3,0,24,0,8.00,3,0,1,3,0,1359520
Akash Madhwal,3,0,37,0,12.33,1,3,1,0,1,1359520
Mohammed Shami,4,0,11,4,2.75,19,1,0,0,0,1359518
Hardik Pandya,1,0,10,0,10.00,3,2,0,0,1,1359518
Josh Little,3,0,27,0,9.00,6,4,0,0,0,1359518
Rashid Khan,4,0,28,1,7.00,12,0,3,1,0,1359518
Noor Ahmad,4,0,20,0,5.00,11,1,0,2,0,1359518
Mohit Sharma,4,0,33,2,8.25,7,1,2,0,0,1359518
Krunal Pandya,4,0,21,0,5.25,8,1,0,0,0,1359517
Marcus Stoinis,1,0,11,0,11.00,0,1,0,0,0,1359517
Naveen-ul-Haq,4,0,30,3,7.50,8,3,1,0,0,1359517
Ravi Bishnoi,4,0,21,2,5.25,7,0,0,0,0,1359517
Amit Mishra,3,0,21,2,7.00,4,0,1,0,0,1359517
Yash Thakur,2,0,12,0,6.00,6,1,0,2,0,1359517
Krishnappa Gowtham,2,0,10,1,5.00,5,0,0,0,0,1359517
Cameron Green,3,0,31,0,10.33,10,2,2,4,0,1359516
Jofra Archer,4,0,35,1,8.75,16,2,3,3,1,1359516
Riley Meredith,4,0,51,1,12.75,7,9,1,2,0,1359516
Piyush Chawla,4,0,34,2,8.50,11,2,3,0,0,1359516
Kumar Kartikeya,2,0,14,0,7.00,6,1,1,0,0,1359516
Arshad Khan,3,0,39,3,13.00,5,4,2,3,0,1359516
Arshdeep Singh,4,0,37,1,9.25,8,5,0,3,0,1359515
Kagiso Rabada,4,0,34,0,8.50,8,4,1,1,0,1359515
Sam Curran,4,0,46,1,11.50,7,5,2,3,0,1359515
Rahul Chahar,4,0,35,1,8.75,7,2,2,0,0,1359515
Sikandar Raza,3,0,31,1,10.33,6,4,1,0,0,1359515
Liam Livingstone,1,0,16,0,16.00,0,3,0,0,0,1359515
Ishant Sharma,3,0,31,1,10.33,9,7,0,0,0,1359514
Anrich Nortje,4,0,44,0,11.00,4,4,1,2,0,1359514
Mukesh Kumar,2,0,38,0,19.00,2,4,2,2,1,1359514
Mitchell Marsh,4,1,27,4,6.75,12,1,2,2,0,1359514
Kuldeep Yadav,3,0,27,0,9.00,4,1,2,0,0,1359514
Axar Patel,4,0,29,1,7.25,7,0,2,2,0,1359514
Mohammed Shami,4,0,33,3,8.25,12,3,2,0,0,1359513
Hardik Pandya,3,0,34,0,11.33,9,3,3,1,0,1359513
Rashid Khan,4,0,54,0,13.50,3,3,4,1,0,1359513
Josh Little,4,0,25,2,6.25,12,2,1,0,0,1359513
Noor Ahmad,4,0,21,2,5.25,12,1,1,1,0,1359513
Mohit Sharma,1,0,12,0,12.00,1,0,1,0,0,1359513
Gurnoor Brar,3,0,42,0,14.00,7,4,3,1,2,1359512
Arshdeep Singh,4,0,54,1,13.50,4,10,0,2,0,1359512
Kagiso Rabada,4,0,52,2,13.00,12,3,5,2,2,1359512
Sikandar Raza,1,0,17,0,17.00,2,1,2,0,0,1359512
Rahul Chahar,4,0,29,0,7.25,8,2,1,0,0,1359512
Sam Curran,3,0,38,1,12.66,5,4,2,0,0,1359512
Liam Livingstone,1,0,19,1,19.00,1,3,1,0,0,1359512
Akash Singh,2,0,32,0,16.00,3,6,1,0,0,1359511
Tushar Deshpande,4,0,42,2,10.50,10,5,2,0,0,1359511
Maheesh Theekshana,4,0,24,1,6.00,11,3,0,1,0,1359511
Ravindra Jadeja,4,0,32,1,8.00,6,2,1,1,0,1359511
Moeen Ali,2,0,17,0,8.50,2,0,1,0,0,1359511
Matheesha Pathirana,4,0,48,0,12.00,5,5,1,2,0,1359511
Mohammed Siraj,4,0,33,1,8.25,11,5,1,0,0,1359510
David Willey,3,0,31,0,10.33,5,4,1,1,0,1359510
Wanindu Hasaranga,4,0,24,2,6.00,10,3,0,0,0,1359510
Shahbaz Ahmed,1,0,25,0,25.00,1,0,4,0,0,1359510
Vijaykumar Vyshak,4,0,41,2,10.25,3,2,2,3,0,1359510
Harshal Patel,4,0,44,0,11.00,7,2,4,1,0,1359510
Arjun Tendulkar,2,0,9,1,4.50,7,0,0,0,0,1359509
Jason Behrendorff,4,0,37,1,9.25,8,2,2,2,0,1359509
Riley Meredith,4,0,49,1,12.25,6,4,3,2,0,1359509
Cameron Green,2,0,39,0,19.50,0,2,4,0,0,1359509
Piyush Chawla,4,0,34,2,8.50,7,3,1,1,0,1359509
Kumar Kartikeya,4,0,39,1,9.75,7,3,2,0,0,1359509
Bhuvneshwar Kumar,4,0,11,2,2.75,16,1,0,0,0,1359508
Marco Jansen,2,0,27,0,13.50,4,4,1,0,0,1359508
Washington Sundar,4,0,28,3,7.00,10,2,1,0,0,1359508
T Natarajan,3,0,21,1,7.00,3,2,0,0,0,1359508
Mayank Markande,4,0,34,0,8.50,7,4,0,1,0,1359508
Umran Malik,2,0,14,0,7.00,4,2,0,0,0,1359508
Aiden Markram,1,0,7,0,7.00,0,0,0,0,0,1359508
Umesh Yadav,3,0,35,0,11.66,7,3,3,0,0,1359507
David Wiese,3,0,38,0,12.66,3,3,2,0,0,1359507
Varun Chakravarthy,4,0,49,1,12.25,8,2,5,0,0,1359507
Kulwant Khejroliya,3,0,44,2,14.66,5,2,4,0,1,1359507
Sunil Narine,2,0,23,0,11.50,3,1,2,0,0,1359507
Suyash Sharma,4,0,29,1,7.25,8,2,1,0,0,1359507
Andre Russell,1,0,17,0,17.00,0,1,1,2,0,1359507
Trent Boult,4,0,41,2,10.25,8,6,0,1,0,1359506
Sandeep Sharma,4,0,49,2,12.25,9,7,2,1,0,1359506
Ravichandran Ashwin,4,0,36,1,9.00,7,2,2,1,0,1359506
Yuzvendra Chahal,4,0,28,1,7.00,7,0,1,2,0,1359506
Jason Holder,4,0,32,0,8.00,6,3,1,0,0,1359506
Arjun Tendulkar,3,0,48,1,16.00,4,6,2,4,1,1359505
Jason Behrendorff,3,0,41,1,13.66,6,2,4,1,0,1359505
Cameron Green,4,0,41,2,10.25,9,2,4,0,0,1359505
Jofra Archer,4,0,42,1,10.50,8,3,3,1,0,1359505
Piyush Chawla,3,0,15,2,5.00,12,2,0,1,0,1359505
Hrithik Shokeen,3,0,24,0,8.00,7,1,1,0,1,1359505
Naveen-ul-Haq,4,0,19,1,4.75,12,1,0,0,0,1359504
Krunal Pandya,4,0,16,2,4.00,13,1,0,0,0,1359504
Avesh Khan,3,0,21,0,7.00,6,2,0,0,0,1359504
Ravi Bishnoi,4,0,49,0,12.25,4,4,3,0,0,1359504
Marcus Stoinis,3,0,20,2,6.66,7,1,1,0,0,1359504
Amit Mishra,2,0,9,1,4.50,4,0,0,0,0,1359504
Akash Singh,3,0,17,1,5.66,10,1,1,0,0,1359503
Tushar Deshpande,3,0,26,0,8.66,7,4,0,1,0,1359503
Maheesh Theekshana,4,0,27,1,6.75,5,2,0,0,0,1359503
Moeen Ali,2,0,18,0,9.00,2,1,1,0,0,1359503
Ravindra Jadeja,4,0,22,3,5.50,8,1,0,0,0,1359503
Matheesha Pathirana,4,0,22,1,5.50,9,2,0,1,0,1359503
Ishant Sharma,4,0,19,2,4.75,13,2,0,1,0,1359502
Mukesh Kumar,4,0,34,1,8.50,15,2,3,4,0,1359502
Anrich Nortje,4,0,20,2,5.00,16,3,0,2,0,1359502
Axar Patel,3,0,13,2,4.33,12,2,0,0,0,1359502
Mitchell Marsh,2,0,25,0,12.50,2,1,2,2,0,1359502
Kuldeep Yadav,3,0,15,2,5.00,9,0,1,1,0,1359502
Arshdeep Singh,4,0,34,1,8.50,8,5,0,1,0,1359501
Harpreet Brar,3,0,31,2,10.33,7,1,3,0,0,1359501
Nathan Ellis,4,0,41,1,10.25,8,2,3,1,0,1359501
Sam Curran,4,0,27,0,6.75,6,1,0,0,1,1359501
Rahul Chahar,4,0,24,0,6.00,7,2,0,0,0,1359501
Liam Livingstone,1,0,9,0,9.00,0,1,0,0,0,1359501
Trent Boult,4,1,16,1,4.00,18,1,1,0,0,1359500
Sandeep Sharma,4,0,32,1,8.00,8,4,0,0,1,1359500
Ravichandran Ashwin,4,0,23,2,5.75,9,2,0,1,0,1359500
Yuzvendra Chahal,4,0,41,0,10.25,5,3,2,0,0,1359500
Jason Holder,4,0,38,1,9.50,7,3,2,0,0,1359500
Bhuvneshwar Kumar,4,0,31,1,7.75,8,1,2,0,0,1359499
