batsman,out,run,ball,minutes,4s,6s,sr,match_id
TOTAL,20 Ov (RR: 6.40),128/7,,,,,,1359504
Ruturaj Gaikwad ,run out (Umran Malik),35,30,50,2,0,116.66,1359503
Devon Conway ,not out ,77,57,84,12,1,135.08,1359503
Ajinkya Rahane ,c Markram b Markande,9,10,15,0,0,90.00,1359503
Ambati Rayudu , b Markande,9,9,11,1,0,100.00,1359503
Moeen Ali ,not out ,6,6,9,1,0,100.00,1359503
Extras,(lb 2),2,,,,,,1359503
TOTAL,18.4 Ov (RR: 7.39),138/3,,,,,,1359503
David Warner (c),lbw b Varun,57,41,58,11,0,139.02,1359502
Prithvi Shaw , b Varun,13,11,22,2,0,118.18,1359502
Mitchell Marsh ,c sub (D Wiese) b Rana,2,9,14,0,0,22.22,1359502
Phil Salt †,c & b AS Roy,5,3,6,1,0,166.66,1359502
Manish Pandey ,c Singh b AS Roy,21,23,34,2,0,91.30,1359502
Axar Patel ,not out ,19,22,37,1,0,86.36,1359502
Aman Hakim Khan , b Rana,0,2,4,0,0,0.00,1359502
Lalit Yadav ,not out ,4,7,21,0,0,57.14,1359502
Extras,"(lb 2, nb 2, w 3)",7,,,,,,1359502
TOTAL,19.2 Ov (RR: 6.62),128/6,,,,,,1359502
Atharva Taide ,lbw b Mohammed Siraj,4,2,5,1,0,200.00,1359501
Prabhsimran Singh , b Parnell,46,30,59,3,4,153.33,1359501
Matthew Short , b Hasaranga,8,7,9,0,1,114.28,1359501
Liam Livingstone ,lbw b Mohammed Siraj,2,4,7,0,0,50.00,1359501
Harpreet Singh ,run out (Mohammed Siraj),13,9,12,1,1,144.44,1359501
Sam Curran (c),run out (Hasaranga),10,12,18,1,0,83.33,1359501
Jitesh Sharma †,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85,1359501
M Shahrukh Khan ,st †Karthik b Hasaranga,7,5,9,0,1,140.00,1359501
Harpreet Brar , b Mohammed Siraj,13,13,22,1,0,100.00,1359501
Nathan Ellis , b Mohammed Siraj,1,2,5,0,0,50.00,1359501
Arshdeep Singh ,not out ,0,0,3,0,0,-,1359501
Extras,"(b 1, lb 1, nb 1, w 2)",5,,,,,,1359501
TOTAL,18.2 Ov (RR: 8.18),150,,,,,,1359501
Yashasvi Jaiswal ,c Avesh Khan b Stoinis,44,35,60,4,2,125.71,1359500
Jos Buttler ,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56,1359500
Sanju Samson (c)†,run out (Mishra/†Pooran),2,4,8,0,0,50.00,1359500
Devdutt Padikkal ,c †Pooran b Avesh Khan,26,21,36,4,0,123.80,1359500
Shimron Hetmyer ,c Rahul b Avesh Khan,2,5,12,0,0,40.00,1359500
Riyan Parag ,not out ,15,12,24,1,1,125.00,1359500
Dhruv Jurel ,c Hooda b Avesh Khan,0,1,2,0,0,0.00,1359500
Ravichandran Ashwin ,not out ,3,2,3,0,0,150.00,1359500
Extras,"(b 1, lb 4, nb 1, w 6)",12,,,,,,1359500
TOTAL,20 Ov (RR: 7.20),144/6,,,,,,1359500
Harry Brook ,c Yadav b Behrendorff,9,7,8,2,0,128.57,1359499
Mayank Agarwal ,c David b Meredith,48,41,76,4,1,117.07,1359499
Rahul Tripathi ,c †Ishan Kishan b Behrendorff,7,5,13,1,0,140.00,1359499
Aiden Markram (c),c Shokeen b Green,22,17,26,1,1,129.41,1359499
Abhishek Sharma ,c David b Chawla,1,2,5,0,0,50.00,1359499
Heinrich Klaasen †,c David b Chawla,36,16,24,4,2,225.00,1359499
Abdul Samad ,run out (Shokeen/†Ishan Kishan),9,12,34,1,0,75.00,1359499
Marco Jansen ,c David b Meredith,13,6,11,3,0,216.66,1359499
Washington Sundar ,run out (David),10,6,8,2,0,166.66,1359499
Bhuvneshwar Kumar ,c Sharma b Tendulkar,2,5,16,0,0,40.00,1359499
Mayank Markande ,not out ,2,2,4,0,0,100.00,1359499
Extras,"(b 1, lb 5, w 13)",19,,,,,,1359499
TOTAL,19.5 Ov (RR: 8.97),178,,,,,,1359499
Virat Kohli , b Akash Singh,6,4,3,1,0,150.00,1359498
Faf du Plessis (c),c †Dhoni b Ali,62,33,64,5,4,187.87,1359498
Mahipal Lomror ,c Gaikwad b Deshpande,0,5,7,0,0,0.00,1359498
Glenn Maxwell ,c †Dhoni b Theekshana,76,36,46,3,8,211.11,1359498
Shahbaz Ahmed ,c Gaikwad b Pathirana,12,10,29,0,1,120.00,1359498
Dinesh Karthik †,c Theekshana b Deshpande,28,14,15,3,1,200.00,1359498
Suyash Prabhudessai ,c Jadeja b Pathirana,19,11,20,0,2,172.72,1359498
Wayne Parnell ,c Dube b Deshpande,2,5,7,0,0,40.00,1359498
Wanindu Hasaranga ,not out ,2,2,10,0,0,100.00,1359498
Extras,"(lb 5, w 6)",11,,,,,,1359498
TOTAL,20 Ov (RR: 10.90),218/8,,,,,,1359498
Yashasvi Jaiswal ,c Shubman Gill b Pandya,1,7,9,0,0,14.28,1359497
Jos Buttler , b Mohammed Shami,0,5,14,0,0,0.00,1359497
Devdutt Padikkal ,c Sharma b Rashid Khan,26,25,38,2,2,104.00,1359497
Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50,1359497
Riyan Parag ,c Miller b Rashid Khan,5,7,10,0,0,71.42,1359497
Shimron Hetmyer ,not out ,56,26,44,2,5,215.38,1359497
Dhruv Jurel ,c Sharma b Mohammed Shami,18,10,19,2,1,180.00,1359497
Ravichandran Ashwin ,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33,1359497
Trent Boult ,not out ,0,1,3,0,0,0.00,1359497
Extras,"(lb 1, w 2)",3,,,,,,1359497
TOTAL,19.2 Ov (RR: 9.25),179/7,,,,,,1359497
Rohit Sharma ,c Yadav b Suyash Sharma,20,13,25,1,2,153.84,1359496
Ishan Kishan †, b Varun,58,25,39,5,5,232.00,1359496
Suryakumar Yadav (c),c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172.00,1359496
Tilak Varma , b Suyash Sharma,30,25,32,3,1,120.00,1359496
Tim David ,not out ,24,13,27,1,2,184.61,1359496
Nehal Wadhera ,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150.00,1359496
Cameron Green ,not out ,1,1,3,0,0,100.00,1359496
Extras,(w 4),4,,,,,,1359496
TOTAL,17.4 Ov (RR: 10.52),186/5,,,,,,1359496
Atharva Taide ,c Avesh Khan b Yudhvir Singh,0,3,3,0,0,0.00,1359495
Prabhsimran Singh , b Yudhvir Singh,4,4,12,1,0,100.00,1359495
Matthew Short ,c Stoinis b Gowtham,34,22,30,5,1,154.54,1359495
Harpreet Singh ,c sub (PN Mankad) b Pandya,22,22,41,3,0,100.00,1359495
Sikandar Raza ,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02,1359495
Sam Curran (c),c Pandya b Ravi Bishnoi,6,6,15,1,0,100.00,1359495
Jitesh Sharma †,c Rahul b Wood,2,4,10,0,0,50.00,1359495
M Shahrukh Khan ,not out ,23,10,26,1,2,230.00,1359495
Harpreet Brar ,c †Pooran b Wood,6,4,10,1,0,150.00,1359495
Kagiso Rabada ,not out ,0,1,4,0,0,0.00,1359495
Extras,"(lb 2, w 5)",7,,,,,,1359495
TOTAL,19.3 Ov (RR: 8.25),161/8,,,,,,1359495
David Warner (c),c Kohli b Vyshak,19,13,33,4,0,146.15,1359494
Prithvi Shaw ,run out (Anuj Rawat),0,2,4,0,0,0.00,1359494
Mitchell Marsh ,c Kohli b Parnell,0,4,7,0,0,0.00,1359494
Yash Dhull ,lbw b Mohammed Siraj,1,4,6,0,0,25.00,1359494
Manish Pandey ,lbw b Hasaranga,50,38,59,5,1,131.57,1359494
Abishek Porel †,c Parnell b Patel,5,8,17,0,0,62.50,1359494
Axar Patel ,c Mohammed Siraj b Vyshak,21,14,18,3,0,150.00,1359494
Aman Hakim Khan ,c Kohli b Mohammed Siraj,18,10,27,1,1,180.00,1359494
Lalit Yadav ,c Maxwell b Vyshak,4,7,10,0,0,57.14,1359494
Anrich Nortje ,not out ,23,14,19,4,0,164.28,1359494
Kuldeep Yadav ,not out ,7,6,10,1,0,116.66,1359494
Extras,(w 3),3,,,,,,1359494
TOTAL,20 Ov (RR: 7.55),151/9,,,,,,1359494
Rahmanullah Gurbaz †,c Umran Malik b Kumar,0,3,3,0,0,0.00,1359493
Narayan Jagadeesan ,c sub (GD Phillips) b Markande,36,21,41,5,1,171.42,1359493
Venkatesh Iyer ,c Markram b Jansen,10,11,15,2,0,90.90,1359493
Sunil Narine ,c Markram b Jansen,0,1,2,0,0,0.00,1359493
Nitish Rana (c),c Washington Sundar b Natarajan,75,41,67,5,6,182.92,1359493
Andre Russell ,c Jansen b Markande,3,6,10,0,0,50.00,1359493
Rinku Singh ,not out ,58,31,51,4,4,187.09,1359493
Shardul Thakur ,c Washington Sundar b Umran Malik,12,7,15,2,0,171.42,1359493
Umesh Yadav ,not out ,1,1,4,0,0,100.00,1359493
Extras,"(lb 2, nb 2, w 6)",10,,,,,,1359493
TOTAL,20 Ov (RR: 10.25),205/7,,,,,,1359493
Wriddhiman Saha †,c Short b Rabada,30,19,-,5,0,157.89,1359492
Shubman Gill , b Curran,67,49,-,7,1,136.73,1359492
Sai Sudharsan ,c Prabhsimran Singh b Arshdeep Singh,19,20,-,2,0,95.00,1359492
Hardik Pandya (c),c Curran b Harpreet Brar,8,11,-,1,0,72.72,1359492
David Miller ,not out ,17,18,-,1,0,94.44,1359492
Rahul Tewatia ,not out ,5,2,-,1,0,250.00,1359492
Extras,(lb 8),8,,,,,,1359492
TOTAL,19.5 Ov (RR: 7.76),154/4,,,,,,1359492
Ruturaj Gaikwad ,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80.00,1359491
Devon Conway ,c Jaiswal b Chahal,50,38,82,6,0,131.57,1359491
Ajinkya Rahane ,lbw b Ashwin,31,19,38,2,1,163.15,1359491
Shivam Dube ,lbw b Ashwin,8,9,13,1,0,88.88,1359491
Moeen Ali ,c Sandeep Sharma b Zampa,7,10,12,0,0,70.00,1359491
Ambati Rayudu ,c Hetmyer b Chahal,1,2,4,0,0,50.00,1359491
Ravindra Jadeja ,not out ,25,15,35,1,2,166.66,1359491
MS Dhoni (c)†,not out ,32,17,30,1,3,188.23,1359491
Extras,"(lb 2, w 8)",10,,,,,,1359491
TOTAL,20 Ov (RR: 8.60),172/6,,,,,,1359491
Rohit Sharma (c),c †Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44,1359490
Ishan Kishan †,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23,1359490
Tilak Varma ,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37,1359490
Suryakumar Yadav ,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0.00,1359490
Tim David ,not out ,13,11,27,0,1,118.18,1359490
Cameron Green ,not out ,17,8,20,1,1,212.50,1359490
Extras,"(lb 4, w 2)",6,,,,,,1359490
TOTAL,20 Ov (RR: 8.65),173/4,,,,,,1359490
Kyle Mayers , b Mohammed Siraj,0,3,5,0,0,0.00,1359489
KL Rahul (c),c Kohli b Mohammed Siraj,18,20,61,1,0,90.00,1359489
Deepak Hooda ,c †Karthik b Parnell,9,10,19,1,0,90.00,1359489
Krunal Pandya ,c †Karthik b Parnell,0,2,3,0,0,0.00,1359489
Marcus Stoinis ,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66,1359489
Nicholas Pooran †,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31,1359489
Ayush Badoni ,hit wicket b Parnell,30,24,45,4,0,125.00,1359489
Jaydev Unadkat ,c du Plessis b Patel,9,7,19,1,0,128.57,1359489
Mark Wood , b Patel,1,2,6,0,0,50.00,1359489
Ravi Bishnoi ,not out ,3,2,8,0,0,150.00,1359489
Avesh Khan ,not out ,0,1,3,0,0,0.00,1359489
Extras,"(b 1, lb 6, w 9)",16,,,,,,1359489
TOTAL,20 Ov (RR: 10.65),213/9,,,,,,1359489
Harry Brook , b Arshdeep Singh,13,14,18,3,0,92.85,1359488
Mayank Agarwal ,c Curran b Chahar,21,20,38,3,0,105.00,1359488
Rahul Tripathi ,not out ,74,48,61,10,3,154.16,1359488
Aiden Markram (c),not out ,37,21,41,6,0,176.19,1359488
Extras,,0,,,,,,1359488
TOTAL,17.1 Ov (RR: 8.44),145/2,,,,,,1359488
Rahmanullah Gurbaz †,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125.00,1359487
Narayan Jagadeesan ,c Manohar b Little,6,8,21,1,0,75.00,1359487
Venkatesh Iyer ,c Shubman Gill b Joseph,83,40,64,8,5,207.50,1359487
Nitish Rana (c),c Mohammed Shami b Joseph,45,29,42,4,3,155.17,1359487
Rinku Singh ,not out ,48,21,43,1,6,228.57,1359487
Andre Russell ,c sub (†KS Bharat) b Rashid Khan,1,2,6,0,0,50.00,1359487
Sunil Narine ,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0.00,1359487
Shardul Thakur ,lbw b Rashid Khan,0,1,3,0,0,0.00,1359487
Umesh Yadav ,not out ,5,6,19,0,0,83.33,1359487
Extras,"(lb 1, w 3)",4,,,,,,1359487
TOTAL,20 Ov (RR: 10.35),207/7,,,,,,1359487
Devon Conway , b Behrendorff,0,4,4,0,0,0.00,1359486
Ruturaj Gaikwad ,not out ,40,36,80,2,1,111.11,1359486
Ajinkya Rahane ,c Yadav b Chawla,61,27,33,7,3,225.92,1359486
Shivam Dube , b Kartikeya,28,26,28,2,1,107.69,1359486
Ambati Rayudu ,not out ,20,16,16,3,0,125.00,1359486
Extras,"(lb 4, w 6)",10,,,,,,1359486
TOTAL,18.1 Ov (RR: 8.75),159/3,,,,,,1359486
Prithvi Shaw ,c †Samson b Boult,0,3,4,0,0,0.00,1359485
David Warner (c),lbw b Chahal,65,55,102,7,0,118.18,1359485
Manish Pandey ,lbw b Boult,0,1,3,0,0,0.00,1359485
Rilee Rossouw ,c Jaiswal b R Ashwin,14,12,24,2,0,116.66,1359485
Lalit Yadav , b Boult,38,24,35,5,0,158.33,1359485
Axar Patel ,st †Samson b Chahal,2,6,12,0,0,33.33,1359485
Rovman Powell ,c Hetmyer b R Ashwin,2,2,6,0,0,100.00,1359485
Abishek Porel †,c Hetmyer b Chahal,7,9,18,1,0,77.77,1359485
Kuldeep Yadav ,not out ,3,7,9,0,0,42.85,1359485
Anrich Nortje , b Sandeep Sharma,0,1,3,0,0,0.00,1359485
Mukesh Kumar ,not out ,1,1,3,0,0,100.00,1359485
Extras,"(lb 2, nb 1, w 7)",10,,,,,,1359485
TOTAL,20 Ov (RR: 7.10),142/9,,,,,,1359485
Kyle Mayers ,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85,1359484
KL Rahul (c),lbw b Rashid,35,31,74,4,0,112.90,1359484
Deepak Hooda ,c & b Kumar,7,8,10,0,1,87.50,1359484
Krunal Pandya ,c †Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82,1359484
Marcus Stoinis ,not out ,10,13,22,2,0,76.92,1359484
Romario Shepherd ,lbw b Rashid,0,1,3,0,0,0.00,1359484
Nicholas Pooran †,not out ,11,6,7,1,1,183.33,1359484
Extras,"(b 2, w 15)",17,,,,,,1359484
TOTAL,16 Ov (RR: 7.93),127/5,,,,,,1359484
Virat Kohli , b Narine,21,18,20,3,0,116.66,1359483
Faf du Plessis (c), b Varun,23,12,24,2,2,191.66,1359483
Michael Bracewell ,c Rana b Thakur,19,18,33,1,1,105.55,1359483
Glenn Maxwell , b Varun,5,7,9,1,0,71.42,1359483
Harshal Patel , b Varun,0,2,3,0,0,0.00,1359483
Shahbaz Ahmed ,c Thakur b Narine,1,5,6,0,0,20.00,1359483
Dinesh Karthik †,c Varun b Suyash Sharma,9,8,23,1,0,112.50,1359483
Anuj Rawat ,c Narine b Suyash Sharma,1,5,5,0,0,20.00,1359483
David Willey ,not out ,20,20,28,2,0,100.00,1359483
Karn Sharma ,c Rana b Suyash Sharma,1,3,11,0,0,33.33,1359483
Akash Deep ,c & b Varun,17,8,14,2,1,212.50,1359483
Extras,"(b 4, lb 1, w 1)",6,,,,,,1359483
TOTAL,17.4 Ov (RR: 6.96),123,,,,,,1359483
Yashasvi Jaiswal ,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.50,1359482
Ravichandran Ashwin ,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0.00,1359482
Jos Buttler ,c & b Ellis,19,11,24,1,1,172.72,1359482
Sanju Samson (c)†,c sub (MW Short) b Ellis,42,25,39,5,1,168.00,1359482
Devdutt Padikkal , b Ellis,21,26,47,1,0,80.76,1359482
Riyan Parag ,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66,1359482
Shimron Hetmyer ,run out (Shahrukh Khan/Curran),36,18,35,1,3,200.00,1359482
Dhruv Jurel ,not out ,32,15,32,3,2,213.33,1359482
Jason Holder ,not out ,1,1,4,0,0,100.00,1359482
Extras,"(b 1, w 9)",10,,,,,,1359482
TOTAL,20 Ov (RR: 9.60),192/7,,,,,,1359482
Wriddhiman Saha †, b Nortje,14,7,9,2,1,200.00,1359481
Shubman Gill , b Nortje,14,13,19,3,0,107.69,1359481
Sai Sudharsan ,not out ,62,48,92,4,2,129.16,1359481
Hardik Pandya (c),c †Abishek Porel b Ahmed,5,4,12,1,0,125.00,1359481
Vijay Shankar ,lbw b Marsh,29,23,40,3,0,126.08,1359481
David Miller ,not out ,31,16,28,2,2,193.75,1359481
Extras,"(b 1, lb 1, nb 2, w 4)",8,,,,,,1359481
TOTAL,18.1 Ov (RR: 8.97),163/4,,,,,,1359481
KL Rahul (c),c Gaikwad b Ali,20,18,42,2,0,111.11,1359480
Kyle Mayers ,c Conway b Ali,53,22,35,8,2,240.90,1359480
Deepak Hooda ,c Stokes b Santner,2,6,6,0,0,33.33,1359480
Krunal Pandya ,c Jadeja b Ali,9,9,14,0,1,100.00,1359480
Marcus Stoinis , b Ali,21,18,26,0,1,116.66,1359480
Nicholas Pooran †,c Stokes b Deshpande,32,18,28,2,3,177.77,1359480
Ayush Badoni ,c †Dhoni b Deshpande,23,18,38,0,0,127.77,1359480
Krishnappa Gowtham ,not out ,17,11,26,0,1,154.54,1359480
Mark Wood ,not out ,10,3,2,1,1,333.33,1359480
Extras,"(lb 2, nb 3, w 13)",18,,,,,,1359480
TOTAL,20 Ov (RR: 10.25),205/7,,,,,,1359480
Virat Kohli ,not out ,82,49,75,6,5,167.34,1359479
Faf du Plessis (c),c David b Arshad Khan,73,43,66,5,6,169.76,1359479
Dinesh Karthik †,c Tilak Varma b Green,0,3,6,0,0,0.00,1359479
Glenn Maxwell ,not out ,12,3,5,0,2,400.00,1359479
Extras,"(lb 1, w 4)",5,,,,,,1359479
TOTAL,16.2 Ov (RR: 10.53),172/2,,,,,,1359479
Abhishek Sharma , b Boult,0,3,3,0,0,0.00,1359478
Mayank Agarwal ,c Buttler b Chahal,27,23,56,3,0,117.39,1359478
Rahul Tripathi ,c Holder b Boult,0,2,6,0,0,0.00,1359478
Harry Brook , b Chahal,13,21,28,1,0,61.90,1359478
Washington Sundar ,c Hetmyer b Holder,1,5,10,0,0,20.00,1359478
Glenn Phillips †,c Asif b Ashwin,8,6,6,0,1,133.33,1359478
Abdul Samad ,not out ,32,32,51,2,1,100.00,1359478
Adil Rashid ,st †Samson b Chahal,18,13,17,1,1,138.46,1359478
Bhuvneshwar Kumar (c), b Chahal,6,10,20,0,0,60.00,1359478
Umran Malik ,not out ,19,8,12,1,2,237.50,1359478
Extras,"(lb 1, nb 3, w 3)",7,,,,,,1359478
TOTAL,20 Ov (RR: 6.55),131/8,,,,,,1359478
Prithvi Shaw , b Wood,12,9,24,2,0,133.33,1359477
David Warner (c),c Gowtham b Avesh Khan,56,48,87,7,0,116.66,1359477
Mitchell Marsh , b Wood,0,1,2,0,0,0.00,1359477
Sarfaraz Khan †,c Gowtham b Wood,4,9,16,1,0,44.44,1359477
Rilee Rossouw ,c Mayers b Ravi Bishnoi,30,20,24,3,1,150.00,1359477
Rovman Powell ,lbw b Ravi Bishnoi,1,3,11,0,0,33.33,1359477
Aman Hakim Khan ,c †Pooran b Avesh Khan,4,5,11,0,0,80.00,1359477
Axar Patel ,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45,1359477
Kuldeep Yadav ,not out ,6,10,22,0,0,60.00,1359477
Chetan Sakariya ,c Pandya b Wood,4,4,5,1,0,100.00,1359477
Mukesh Kumar ,not out ,0,1,1,0,0,0.00,1359477
Extras,"(nb 1, w 9)",10,,,,,,1359477
TOTAL,20 Ov (RR: 7.15),143/9,,,,,,1359477
Mandeep Singh ,c Curran b Arshdeep Singh,2,4,7,0,0,50.00,1359476
Rahmanullah Gurbaz †, b Ellis,22,16,26,3,1,137.50,1359476
Anukul Roy ,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80.00,1359476
Venkatesh Iyer ,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42,1359476
Nitish Rana (c),c Chahar b Sikandar Raza,24,17,23,3,1,141.17,1359476
Rinku Singh ,c Sikandar Raza b Chahar,4,4,5,0,0,100.00,1359476
Andre Russell ,c Sikandar Raza b Curran,35,19,24,3,2,184.21,1359476
Shardul Thakur ,not out ,8,3,8,0,1,266.66,1359476
Sunil Narine ,not out ,7,2,4,0,1,350.00,1359476
Extras,"(b 1, lb 2, nb 2, w 1)",6,,,,,,1359476
TOTAL,16 Ov (RR: 9.12),146/7,,,,,,1359476
